ObjectId,OObjectId,AcademicYear,AcademicPeriod
50018319,50000976,2021,003
50018319,50000976,2022,003
50018319,50000976,2023,003
50018319,50000976,2024,003
50018319,50000976,2025,003
50018694,50000008,2021,003
50018694,50000008,2022,003
50018694,50000008,2023,003
50018694,50000008,2024,003
50018694,50000008,2025,003
50018697,50000008,2021,003
50018697,50000008,2022,003
50018697,50000008,2023,003
50018697,50000008,2024,003
50018697,50000008,2025,003
50018713,50000008,2021,003
50018713,50000008,2022,003
50018713,50000008,2023,003
50018713,50000008,2024,003
50018713,50000008,2025,003
50018734,50000008,2021,003
50018734,50000008,2022,003
50018734,50000008,2023,003
50018734,50000008,2024,003
50018734,50000008,2025,003
50019252,50000003,2021,004
50019260,50000008,2021,003
50019260,50000008,2022,003
50019260,50000008,2023,003
50019260,50000008,2024,003
50019260,50000008,2025,003
50019261,50000008,2021,004
50019261,50000008,2022,004
50019261,50000008,2023,004
50019261,50000008,2024,004
50019264,50000008,2021,004
50019264,50000008,2022,004
50019264,50000008,2023,004
50019264,50000008,2024,004
50019334,50000003,2021,003
50019439,50000003,2021,003
50019442,50000003,2021,004
50019498,50000003,2021,003
50019572,50000003,2021,004
50019942,50000003,2021,003
50020512,50000006,2021,003
50020512,50000006,2022,003
50020513,50000006,2021,004
50020513,50000006,2022,004
50020513,50000006,2023,004
50020513,50000006,2024,004
50020513,50000006,2025,004
50025938,50000008,2021,003
50025938,50000008,2022,003
50025938,50000008,2023,003
50025938,50000008,2024,003
50025938,50000008,2025,003
50025941,50000008,2021,004
50025941,50000008,2022,004
50025941,50000008,2023,004
50025941,50000008,2024,004
50026110,50000008,2021,003
50026110,50000008,2022,003
50026110,50000008,2023,003
50026110,50000008,2024,003
50026110,50000008,2025,003
50026113,50000008,2021,004
50026113,50000008,2022,004
50026113,50000008,2023,004
50026113,50000008,2024,004
50026307,50000008,2021,003
50026307,50000008,2021,004
50026307,50000008,2022,003
50026307,50000008,2022,004
50026307,50000008,2023,003
50026307,50000008,2023,004
50026307,50000008,2024,003
50026307,50000008,2024,004
50026307,50000008,2025,003
50026310,50000008,2021,003
50026310,50000008,2021,004
50026310,50000008,2022,003
50026310,50000008,2022,004
50026310,50000008,2023,003
50026310,50000008,2023,004
50026310,50000008,2024,003
50026310,50000008,2024,004
50026310,50000008,2025,003
50026315,50000008,2021,003
50026315,50000008,2022,003
50026315,50000008,2023,003
50026315,50000008,2024,003
50026315,50000008,2025,003
50026319,50000008,2021,004
50026319,50000008,2022,004
50026319,50000008,2023,004
50026319,50000008,2024,004
50026322,50000008,2021,003
50026322,50000008,2022,003
50026322,50000008,2023,003
50026322,50000008,2024,003
50026322,50000008,2025,003
50026324,50000008,2021,004
50026324,50000008,2022,004
50026324,50000008,2023,004
50026324,50000008,2024,004
50026326,50000008,2021,003
50026326,50000008,2022,003
50026326,50000008,2023,003
50026326,50000008,2024,003
50026326,50000008,2025,003
50026385,50000008,2021,004
50026385,50000008,2022,004
50026385,50000008,2023,004
50026385,50000008,2024,003
50026385,50000008,2025,003
50026387,50000008,2021,003
50026387,50000008,2021,004
50026387,50000008,2022,003
50026387,50000008,2022,004
50026387,50000008,2023,003
50026387,50000008,2023,004
50026387,50000008,2024,003
50026387,50000008,2024,004
50026958,50000008,2021,004
50026958,50000008,2022,004
50026958,50000008,2023,004
50026958,50000008,2024,004
50026987,50000008,2021,003
50026987,50000008,2021,004
50026987,50000008,2022,003
50026987,50000008,2022,004
50026987,50000008,2023,003
50026987,50000008,2023,004
50026987,50000008,2024,003
50026987,50000008,2024,004
50026987,50000008,2025,003
50026989,50000008,2021,003
50026989,50000008,2021,004
50026989,50000008,2022,003
50026989,50000008,2022,004
50026989,50000008,2023,003
50026989,50000008,2023,004
50026989,50000008,2024,003
50026989,50000008,2024,004
50026989,50000008,2025,003
50027276,50000008,2021,003
50027276,50000008,2022,003
50027276,50000008,2023,003
50027276,50000008,2024,003
50027276,50000008,2025,003
50027289,50000008,2021,004
50027289,50000008,2022,004
50027289,50000008,2023,003
50027289,50000008,2023,004
50027289,50000008,2024,003
50027289,50000008,2024,004
50027289,50000008,2025,003
50027289,50000008,2025,004
50027294,50000008,2021,004
50027294,50000008,2022,004
50027363,50000008,2021,003
50027363,50000008,2022,003
50027363,50000008,2023,003
50027363,50000008,2024,003
50027363,50000008,2025,003
50027368,50000008,2021,004
50027368,50000008,2022,004
50027368,50000008,2023,004
50027368,50000008,2024,004
50027368,50000008,2025,004
50027379,50000008,2021,003
50027379,50000008,2022,003
50027379,50000008,2023,003
50027379,50000008,2024,003
50027379,50000008,2025,003
50027381,50000008,2021,004
50027381,50000008,2022,004
50027381,50000008,2023,004
50027381,50000008,2024,004
50027381,50000008,2025,004
50027417,50000008,2021,003
50027417,50000008,2022,003
50027417,50000008,2023,003
50027417,50000008,2024,003
50027417,50000008,2025,003
50027436,50000008,2021,003
50027436,50000008,2022,003
50027436,50000008,2023,003
50027436,50000008,2024,003
50027436,50000008,2025,003
50027607,50000008,2021,003
50027607,50000008,2021,004
50027607,50000008,2022,003
50027607,50000008,2022,004
50027607,50000008,2023,003
50027607,50000008,2023,004
50027607,50000008,2024,003
50027607,50000008,2024,004
50027607,50000008,2025,003
50027666,50000008,2021,003
50027666,50000008,2021,004
50027666,50000008,2022,003
50027666,50000008,2022,004
50027666,50000008,2023,003
50027666,50000008,2023,004
50027666,50000008,2024,003
50027666,50000008,2024,004
50027666,50000008,2025,003
50027684,50000008,2021,003
50027684,50000008,2021,004
50027684,50000008,2022,003
50027684,50000008,2022,004
50027684,50000008,2023,003
50027684,50000008,2023,004
50027684,50000008,2024,003
50027684,50000008,2024,004
50027684,50000008,2025,003
50028168,50000976,2021,003
50028168,50000976,2021,004
50028168,50000976,2022,003
50028168,50000976,2022,004
50028168,50000976,2023,003
50028168,50000976,2023,004
50028168,50000976,2024,003
50028168,50000976,2024,004
50028168,50000976,2025,003
50028173,50000976,2021,003
50028173,50000976,2021,004
50028173,50000976,2022,003
50028173,50000976,2022,004
50028173,50000976,2023,003
50028173,50000976,2023,004
50028173,50000976,2024,003
50028173,50000976,2024,004
50028173,50000976,2025,003
50028175,50000976,2021,003
50028175,50000976,2021,004
50028175,50000976,2022,003
50028175,50000976,2022,004
50028175,50000976,2023,003
50028175,50000976,2023,004
50028175,50000976,2024,003
50028175,50000976,2024,004
50028175,50000976,2025,003
50028179,50000976,2021,003
50028179,50000976,2021,004
50028179,50000976,2022,003
50028179,50000976,2022,004
50028179,50000976,2023,003
50028179,50000976,2023,004
50028179,50000976,2024,003
50028179,50000976,2024,004
50028179,50000976,2025,003
50028208,50000976,2021,003
50028208,50000976,2021,004
50028208,50000976,2022,003
50028208,50000976,2022,004
50028208,50000976,2023,003
50028208,50000976,2023,004
50028208,50000976,2024,003
50028208,50000976,2024,004
50028208,50000976,2025,003
50028234,50000976,2021,003
50028234,50000976,2021,004
50028234,50000976,2022,003
50028234,50000976,2022,004
50028237,50000976,2021,003
50028237,50000976,2021,004
50028237,50000976,2022,003
50028237,50000976,2022,004
50028237,50000976,2023,003
50028237,50000976,2023,004
50028237,50000976,2024,003
50028237,50000976,2024,004
50028237,50000976,2025,003
50028241,50000976,2021,003
50028241,50000976,2021,004
50028241,50000976,2022,003
50028241,50000976,2022,004
50028241,50000976,2023,003
50028241,50000976,2023,004
50028241,50000976,2024,003
50028241,50000976,2024,004
50028241,50000976,2025,003
50028394,50000976,2021,003
50028394,50000976,2021,004
50028394,50000976,2022,003
50028394,50000976,2022,004
50028394,50000976,2023,003
50028394,50000976,2023,004
50028394,50000976,2024,003
50028394,50000976,2024,004
50028394,50000976,2025,003
50028395,50000976,2021,003
50028395,50000976,2021,004
50028395,50000976,2022,003
50028395,50000976,2022,004
50028395,50000976,2023,003
50028395,50000976,2023,004
50028395,50000976,2024,003
50028395,50000976,2024,004
50028395,50000976,2025,003
50028433,50000976,2021,003
50028433,50000976,2021,004
50028433,50000976,2022,003
50028433,50000976,2022,004
50028433,50000976,2023,003
50028433,50000976,2023,004
50028433,50000976,2024,003
50028433,50000976,2024,004
50028433,50000976,2025,003
50028462,50000976,2021,003
50028462,50000976,2021,004
50028462,50000976,2022,003
50028462,50000976,2022,004
50028462,50000976,2023,003
50028462,50000976,2023,004
50028462,50000976,2024,003
50028462,50000976,2024,004
50028462,50000976,2025,003
50028571,50000008,2021,003
50028571,50000008,2022,004
50028579,50000008,2021,003
50028579,50000008,2022,003
50028579,50000008,2023,003
50028579,50000008,2024,003
50028668,50000008,2021,004
50028668,50000008,2022,004
50028668,50000008,2023,004
50028674,50000008,2021,003
50028674,50000008,2022,003
50028674,50000008,2023,003
50028674,50000008,2024,003
50028680,50000008,2021,003
50028680,50000008,2021,004
50028680,50000008,2022,004
50028680,50000008,2023,004
50028680,50000008,2025,003
50028682,50000008,2021,003
50028682,50000008,2022,003
50028682,50000008,2023,003
50028682,50000008,2024,003
50028682,50000008,2025,003
50028683,50000008,2021,003
50028683,50000008,2022,003
50028683,50000008,2023,003
50028683,50000008,2024,003
50028683,50000008,2025,003
50028685,50000008,2021,003
50028685,50000008,2022,003
50028685,50000008,2023,003
50028685,50000008,2024,003
50028685,50000008,2025,003
50028687,50000008,2021,004
50028687,50000008,2022,004
50028687,50000008,2023,004
50028689,50000008,2021,004
50028689,50000008,2022,004
50028689,50000008,2023,004
50028689,50000008,2024,004
50028690,50000008,2021,004
50028690,50000008,2022,004
50028690,50000008,2023,004
50028693,50000008,2021,004
50028693,50000008,2022,004
50028695,50000008,2021,003
50028695,50000008,2022,003
50028695,50000008,2023,003
50028695,50000008,2024,003
50028696,50000008,2021,003
50028696,50000008,2022,003
50028696,50000008,2023,003
50028696,50000008,2024,003
50028696,50000008,2025,003
50028697,50000008,2021,003
50028697,50000008,2022,003
50028697,50000008,2023,003
50028697,50000008,2024,003
50028697,50000008,2025,003
50028699,50000008,2021,003
50028699,50000008,2022,003
50028699,50000008,2023,003
50028699,50000008,2024,003
50028699,50000008,2025,003
50028702,50000008,2021,004
50028702,50000008,2022,004
50028702,50000008,2023,004
50028702,50000008,2024,004
50028702,50000008,2025,004
50028706,50000008,2021,004
50028706,50000008,2022,004
50028706,50000008,2023,004
50028706,50000008,2024,004
50028706,50000008,2025,004
50028708,50000008,2021,004
50028708,50000008,2022,004
50028708,50000008,2023,004
50028708,50000008,2024,004
50028708,50000008,2025,004
50028710,50000008,2021,004
50028710,50000008,2022,004
50028710,50000008,2023,004
50028710,50000008,2024,004
50028710,50000008,2025,004
50028713,50000008,2021,004
50028713,50000008,2022,004
50028713,50000008,2023,004
50028713,50000008,2024,004
50028713,50000008,2025,004
50028717,50000008,2021,003
50028717,50000008,2022,003
50028717,50000008,2023,003
50028717,50000008,2024,003
50028717,50000008,2025,003
50028720,50000008,2021,003
50028720,50000008,2022,003
50028720,50000008,2023,003
50028720,50000008,2024,003
50028720,50000008,2025,003
50028721,50000008,2021,003
50028721,50000008,2022,003
50028721,50000008,2023,003
50028721,50000008,2024,003
50028721,50000008,2025,003
50028723,50000008,2021,003
50028723,50000008,2022,003
50028723,50000008,2023,003
50028723,50000008,2024,003
50028723,50000008,2025,003
50028725,50000008,2021,004
50028725,50000008,2022,004
50028730,50000008,2021,004
50028730,50000008,2022,004
50028730,50000008,2023,004
50028730,50000008,2024,004
50028921,50000976,2021,003
50028921,50000976,2021,004
50028921,50000976,2022,003
50028921,50000976,2022,004
50028921,50000976,2023,003
50028921,50000976,2023,004
50028921,50000976,2024,003
50028921,50000976,2024,004
50028921,50000976,2025,003
50028922,50000976,2021,003
50028922,50000976,2021,004
50028922,50000976,2022,003
50028922,50000976,2022,004
50028922,50000976,2023,003
50028944,50000976,2021,003
50028944,50000976,2021,004
50028944,50000976,2022,003
50028944,50000976,2022,004
50028944,50000976,2023,003
50028944,50000976,2023,004
50028944,50000976,2024,003
50028944,50000976,2024,004
50028944,50000976,2025,003
50028945,50000976,2021,003
50028945,50000976,2021,004
50028945,50000976,2022,003
50028945,50000976,2022,004
50028945,50000976,2023,003
50028945,50000976,2023,004
50028945,50000976,2024,003
50028945,50000976,2024,004
50028945,50000976,2025,003
50028949,50000976,2021,003
50028951,50000976,2021,003
50028951,50000976,2021,004
50028951,50000976,2022,003
50028951,50000976,2022,004
50028951,50000976,2023,003
50028951,50000976,2023,004
50028951,50000976,2024,003
50028951,50000976,2024,004
50028951,50000976,2025,003
50028969,50000008,2021,003
50028989,50000976,2021,003
50028989,50000976,2021,004
50028989,50000976,2022,003
50028989,50000976,2022,004
50028989,50000976,2023,003
50028989,50000976,2023,004
50028989,50000976,2024,003
50028989,50000976,2024,004
50028989,50000976,2025,003
50028990,50000976,2021,003
50028990,50000976,2021,004
50028990,50000976,2022,003
50028990,50000976,2022,004
50028990,50000976,2023,003
50028990,50000976,2023,004
50028990,50000976,2024,003
50028990,50000976,2024,004
50028990,50000976,2025,003
50029000,50000976,2021,003
50029000,50000976,2021,004
50029000,50000976,2022,003
50029000,50000976,2022,004
50029000,50000976,2023,003
50029000,50000976,2023,004
50029000,50000976,2024,003
50029000,50000976,2024,004
50029000,50000976,2025,003
50029003,50000976,2021,003
50029003,50000976,2021,004
50029003,50000976,2022,003
50029003,50000976,2022,004
50029003,50000976,2023,003
50029003,50000976,2023,004
50029003,50000976,2024,003
50029003,50000976,2024,004
50029003,50000976,2025,003
50029007,50000976,2021,003
50029007,50000976,2021,004
50029007,50000976,2022,003
50029007,50000976,2022,004
50029007,50000976,2023,003
50029007,50000976,2023,004
50029007,50000976,2024,003
50029007,50000976,2024,004
50029007,50000976,2025,003
50029009,50000976,2021,003
50029009,50000976,2021,004
50029009,50000976,2022,003
50029009,50000976,2022,004
50029009,50000976,2023,003
50029009,50000976,2023,004
50029009,50000976,2024,003
50029009,50000976,2024,004
50029009,50000976,2025,003
50029012,50000976,2021,003
50029012,50000976,2021,004
50029012,50000976,2022,003
50029012,50000976,2022,004
50029012,50000976,2023,003
50029012,50000976,2023,004
50029012,50000976,2024,003
50029012,50000976,2024,004
50029012,50000976,2025,003
50029013,50000976,2021,003
50029013,50000976,2021,004
50029013,50000976,2022,003
50029013,50000976,2022,004
50029013,50000976,2023,003
50029013,50000976,2023,004
50029013,50000976,2024,003
50029013,50000976,2024,004
50029013,50000976,2025,003
50029014,50000976,2021,003
50029014,50000976,2021,004
50029014,50000976,2022,003
50029014,50000976,2022,004
50029014,50000976,2023,003
50029014,50000976,2023,004
50029014,50000976,2024,003
50029014,50000976,2024,004
50029014,50000976,2025,003
50029015,50000976,2021,003
50029015,50000976,2021,004
50029015,50000976,2022,003
50029015,50000976,2022,004
50029015,50000976,2023,003
50029015,50000976,2023,004
50029015,50000976,2024,003
50029015,50000976,2024,004
50029015,50000976,2025,003
50029016,50000976,2021,003
50029016,50000976,2021,004
50029016,50000976,2022,003
50029016,50000976,2022,004
50029016,50000976,2023,003
50029016,50000976,2023,004
50029016,50000976,2024,003
50029016,50000976,2024,004
50029016,50000976,2025,003
50029017,50000976,2021,003
50029017,50000976,2021,004
50029017,50000976,2022,003
50029017,50000976,2022,004
50029017,50000976,2023,003
50029017,50000976,2023,004
50029017,50000976,2024,003
50029017,50000976,2024,004
50029017,50000976,2025,003
50029021,50000976,2021,003
50029021,50000976,2021,004
50029021,50000976,2022,003
50029021,50000976,2022,004
50029021,50000976,2023,003
50029021,50000976,2023,004
50029021,50000976,2024,003
50029021,50000976,2024,004
50029021,50000976,2025,003
50029028,50000976,2021,003
50029028,50000976,2021,004
50029028,50000976,2022,003
50029028,50000976,2022,004
50029028,50000976,2023,003
50029028,50000976,2023,004
50029028,50000976,2024,003
50029028,50000976,2024,004
50029028,50000976,2025,003
50029034,50000976,2021,003
50029034,50000976,2021,004
50029034,50000976,2022,003
50029034,50000976,2022,004
50029034,50000976,2023,003
50029034,50000976,2023,004
50029034,50000976,2024,003
50029034,50000976,2024,004
50029034,50000976,2025,003
50029035,50000976,2021,003
50029035,50000976,2021,004
50029035,50000976,2022,003
50029035,50000976,2022,004
50029035,50000976,2023,003
50029035,50000976,2023,004
50029035,50000976,2024,003
50029035,50000976,2024,004
50029035,50000976,2025,003
50029036,50000976,2021,003
50029036,50000976,2021,004
50029036,50000976,2022,003
50029036,50000976,2022,004
50029036,50000976,2023,003
50029036,50000976,2023,004
50029036,50000976,2024,003
50029036,50000976,2024,004
50029036,50000976,2025,003
50029038,50000976,2021,003
50029038,50000976,2021,004
50029038,50000976,2022,003
50029038,50000976,2022,004
50029038,50000976,2023,003
50029038,50000976,2023,004
50029038,50000976,2024,003
50029038,50000976,2024,004
50029038,50000976,2025,003
50029043,50000976,2021,003
50029043,50000976,2021,004
50029043,50000976,2022,003
50029043,50000976,2022,004
50029043,50000976,2023,003
50029043,50000976,2023,004
50029043,50000976,2024,003
50029043,50000976,2024,004
50029043,50000976,2025,003
50029046,50000976,2021,003
50029046,50000976,2021,004
50029046,50000976,2022,003
50029046,50000976,2022,004
50029046,50000976,2023,003
50029046,50000976,2023,004
50029046,50000976,2024,003
50029046,50000976,2024,004
50029046,50000976,2025,003
50029047,50000976,2021,003
50029047,50000976,2021,004
50029047,50000976,2022,003
50029047,50000976,2022,004
50029047,50000976,2023,003
50029047,50000976,2023,004
50029047,50000976,2024,003
50029047,50000976,2024,004
50029047,50000976,2025,003
50029052,50000976,2021,003
50029052,50000976,2021,004
50029052,50000976,2022,003
50029052,50000976,2022,004
50029052,50000976,2023,003
50029052,50000976,2023,004
50029052,50000976,2024,003
50029052,50000976,2024,004
50029052,50000976,2025,003
50029054,50000976,2021,003
50029054,50000976,2021,004
50029054,50000976,2022,003
50029054,50000976,2022,004
50029054,50000976,2023,003
50029054,50000976,2023,004
50029054,50000976,2024,003
50029054,50000976,2024,004
50029054,50000976,2025,003
50029056,50000976,2021,003
50029056,50000976,2021,004
50029056,50000976,2022,003
50029056,50000976,2022,004
50029056,50000976,2023,003
50029056,50000976,2023,004
50029056,50000976,2024,003
50029056,50000976,2024,004
50029056,50000976,2025,003
50029057,50000976,2021,003
50029057,50000976,2021,004
50029057,50000976,2022,003
50029057,50000976,2022,004
50029057,50000976,2023,003
50029057,50000976,2023,004
50029057,50000976,2024,003
50029057,50000976,2024,004
50029057,50000976,2025,003
50029058,50000976,2021,003
50029058,50000976,2021,004
50029058,50000976,2022,003
50029058,50000976,2022,004
50029058,50000976,2023,003
50029058,50000976,2023,004
50029058,50000976,2024,003
50029058,50000976,2024,004
50029058,50000976,2025,003
50029061,50000976,2021,003
50029061,50000976,2021,004
50029061,50000976,2022,003
50029061,50000976,2022,004
50029061,50000976,2023,003
50029061,50000976,2023,004
50029061,50000976,2024,003
50029061,50000976,2024,004
50029061,50000976,2025,003
50029072,50000976,2021,003
50029072,50000976,2021,004
50029072,50000976,2022,003
50029072,50000976,2022,004
50029072,50000976,2023,003
50029072,50000976,2023,004
50029072,50000976,2024,003
50029072,50000976,2024,004
50029072,50000976,2025,003
50029074,50000976,2021,003
50029074,50000976,2021,004
50029074,50000976,2022,003
50029074,50000976,2022,004
50029074,50000976,2023,003
50029074,50000976,2023,004
50029074,50000976,2024,003
50029074,50000976,2024,004
50029074,50000976,2025,003
50029082,50000976,2021,003
50029082,50000976,2021,004
50029082,50000976,2022,003
50029082,50000976,2022,004
50029082,50000976,2023,003
50029082,50000976,2023,004
50029082,50000976,2024,003
50029082,50000976,2024,004
50029082,50000976,2025,003
50029083,50000976,2021,003
50029083,50000976,2021,004
50029083,50000976,2022,003
50029083,50000976,2022,004
50029083,50000976,2023,003
50029083,50000976,2023,004
50029083,50000976,2024,003
50029083,50000976,2024,004
50029083,50000976,2025,003
50029084,50000976,2021,003
50029084,50000976,2021,004
50029084,50000976,2022,003
50029084,50000976,2022,004
50029084,50000976,2023,003
50029084,50000976,2023,004
50029084,50000976,2024,003
50029084,50000976,2024,004
50029084,50000976,2025,003
50029097,50000976,2021,003
50029097,50000976,2021,004
50029097,50000976,2022,003
50029097,50000976,2022,004
50029097,50000976,2023,003
50029097,50000976,2023,004
50029097,50000976,2024,003
50029097,50000976,2024,004
50029097,50000976,2025,003
50029099,50000976,2021,003
50029099,50000976,2021,004
50029099,50000976,2022,003
50029099,50000976,2022,004
50029099,50000976,2023,003
50029099,50000976,2023,004
50029099,50000976,2024,003
50029099,50000976,2024,004
50029099,50000976,2025,003
50029147,50000976,2021,003
50029147,50000976,2021,004
50029147,50000976,2022,003
50029147,50000976,2022,004
50029147,50000976,2023,003
50029147,50000976,2023,004
50029147,50000976,2024,003
50029147,50000976,2024,004
50029147,50000976,2025,003
50029156,50000976,2021,003
50029156,50000976,2021,004
50029156,50000976,2022,003
50029156,50000976,2022,004
50029156,50000976,2023,003
50029156,50000976,2023,004
50029156,50000976,2024,003
50029156,50000976,2024,004
50029156,50000976,2025,003
50029158,50000976,2021,003
50029158,50000976,2021,004
50029158,50000976,2022,003
50029158,50000976,2022,004
50029158,50000976,2023,003
50029158,50000976,2023,004
50029158,50000976,2024,003
50029158,50000976,2024,004
50029158,50000976,2025,003
50029162,50000976,2021,003
50029162,50000976,2021,004
50029162,50000976,2022,003
50029162,50000976,2022,004
50029162,50000976,2023,003
50029162,50000976,2023,004
50029162,50000976,2024,003
50029162,50000976,2024,004
50029162,50000976,2025,003
50029164,50000976,2021,003
50029164,50000976,2021,004
50029164,50000976,2022,003
50029164,50000976,2022,004
50029164,50000976,2023,003
50029164,50000976,2023,004
50029164,50000976,2024,003
50029164,50000976,2024,004
50029168,50000008,2021,003
50029168,50000008,2022,003
50029168,50000008,2023,003
50029168,50000008,2024,003
50029168,50000008,2025,003
50029176,50000976,2021,003
50029176,50000976,2021,004
50029176,50000976,2022,003
50029176,50000976,2022,004
50029176,50000976,2023,003
50029176,50000976,2023,004
50029176,50000976,2024,003
50029176,50000976,2024,004
50029176,50000976,2025,003
50029177,50000976,2021,003
50029177,50000976,2021,004
50029177,50000976,2022,003
50029177,50000976,2022,004
50029177,50000976,2023,003
50029177,50000976,2023,004
50029177,50000976,2024,003
50029177,50000976,2024,004
50029177,50000976,2025,003
50029186,50000976,2021,003
50029186,50000976,2021,004
50029186,50000976,2022,003
50029186,50000976,2022,004
50029186,50000976,2023,003
50029186,50000976,2023,004
50029186,50000976,2024,003
50029186,50000976,2024,004
50029186,50000976,2025,003
50029187,50000976,2021,003
50029187,50000976,2021,004
50029187,50000976,2022,003
50029187,50000976,2022,004
50029187,50000976,2023,003
50029187,50000976,2023,004
50029187,50000976,2024,003
50029187,50000976,2024,004
50029187,50000976,2025,003
50029188,50000976,2021,003
50029188,50000976,2021,004
50029188,50000976,2022,003
50029188,50000976,2022,004
50029188,50000976,2023,003
