OObjId,OText
50000001,Theologische und Religionswissenschaftliche Fakultät
50000002,Rechtswissenschaftliche Fakultät
50000003,Wirtschaftswissenschaftliche Fakultät
50000976,Medizinische Fakultät
50000006,Vetsuisse-Fakultät
50000007,Philosophische Fakultät
50000008,Mathematisch-naturwissenschaftliche Fakultät
49000049,School for Transdisciplinary Studies
50044345,Weitere Angebote
